transaction_id,account_id,account_type,date,merchant_name,raw_description,amount,currency,pending
e3672f8d-2eb1-485c-b714-04d249a3dacd,chk_0001,checking,2025-07-01,Parkview Apartments Management,Parkview Apartments Management,1450.0,USD,False
3d225733-fad6-4723-899f-346371a66c19,chk_0001,checking,2025-07-02,Transfer to Savings,ONLINE TRANSFER TO SAVINGS xxxx0001,300.0,USD,False
454a44cc-73a6-4061-a405-574af066f8f4,chk_0001,checking,2025-07-02,Lyft,Lyft,16.54,USD,False
20ed2a26-cb9c-47df-9347-6402b74af808,sav_0001,savings,2025-07-02,Transfer from Checking,ONLINE TRANSFER FROM CHECKING xxxx0001,-300.0,USD,False
0a0c0602-35af-49a7-8c5b-d334f94b68f9,cc_0001,credit_card,2025-07-03,Netflix,POS DEBIT NETFLIX,15.99,USD,False
eb69c0bf-70f6-4e2f-84b6-3813fc53d75b,cc_0001,credit_card,2025-07-03,Uber,UBER #7484 SIMSVIEW NV,26.08,USD,False
24f67acc-fe7a-4ff2-86dd-739486bace3d,chk_0001,checking,2025-07-04,Acme Corp Payroll,SQ *ACME CORP PAYROLL,-2100.0,USD,False
8007fff8-691a-4b02-a3ab-f121dc1696ae,cc_0001,credit_card,2025-07-05,Spotify,SQ *SPOTIFY,10.99,USD,False
67fa3e14-0b4a-4d0d-b70a-d861f7e821d2,cc_0001,credit_card,2025-07-05,ExxonMobil,POS DEBIT EXXONMOBIL,53.78,USD,False
d7b3ae06-9283-43d8-be9c-c81ee201093c,cc_0001,credit_card,2025-07-07,Planet Fitness,PLANET FITNESS #7572 LAKE LARRY TN,39.99,USD,False
01712958-185d-49c8-8630-7527404eab4d,cc_0001,credit_card,2025-07-08,Chevron,CHEVRON WEB PYMT,41.4,USD,False
9f9f2ce2-7128-48ee-9d03-bdae9f646745,cc_0001,credit_card,2025-07-10,Chipotle,CHIPOTLE #4450 PERRYBOROUGH MP,51.35,USD,False
a83fc5b5-3296-4124-a296-042e19f6b0d6,chk_0001,checking,2025-07-10,Whole Foods Market,Whole Foods Market,97.94,USD,False
b41ab6e3-42b7-486b-aebd-d44d8d2c7399,cc_0001,credit_card,2025-07-12,Chipotle,SQ *CHIPOTLE,40.49,USD,False
b873e3f0-c821-48af-8438-566646ce8a2d,cc_0001,credit_card,2025-07-12,Delta Air Lines,Delta Air Lines,650.9,USD,False
ad97cf93-0fcf-4602-ae42-2870bab39ca5,chk_0001,checking,2025-07-12,Verizon Wireless,SQ *VERIZON WIRELESS,82.92,USD,False
28ea0fc3-4492-44d7-a31a-4d7ec7d29fe3,chk_0001,checking,2025-07-13,Target,TARGET WEB PYMT,155.94,USD,False
f65b9cb5-ad9c-4bbd-9893-927c67bb959d,chk_0001,checking,2025-07-14,Comcast Xfinity,COMCAST XFINITY #4923 SOUTH DIANESHIRE NC,71.51,USD,False
585846ed-ff44-47bc-ad60-2777971552af,cc_0001,credit_card,2025-07-15,Target,TARGET #1653 SOUTH JEFFREY NE,103.11,USD,False
